engine,scenario_id,route,decision_time_us,latency_ms,cost_usd,success,reward,agreement_with_rule,ctx_network_latency_ms,ctx_connectivity,ctx_cpu_available,ctx_priority,ctx_batch_size,ctx_cost_budget_usd,ctx_model_size_mb
RuleBased,42,hybrid,3.273,83.526,0.008,True,-16.156,True,119.57467222652846,1,49.40542803607554,2,16,2.0,22.5
RuleBased,43,hybrid,3.278,63.436,0.008,True,-14.25,True,71.94702485677152,1,40.58211671802905,3,16,1.0,22.5
RuleBased,44,cloud,3.563,151.49,0.0272,True,-58.84,True,78.32548353592173,1,21.148885231434804,4,32,5.0,22.5
RuleBased,45,hybrid,3.353,90.717,0.016,True,-28.937,True,119.84514227624078,1,42.802235412320144,4,32,1.0,22.5
RuleBased,46,hybrid,3.504,96.868,0.016,True,-32.704,True,120.05210850744896,1,30.781811399034204,2,32,5.0,22.5
RuleBased,47,edge,3.162,32.462,2e-05,True,0.827,True,223.64714633852046,1,54.07018481727269,3,16,2.0,22.5
RuleBased,48,hybrid,3.328,142.372,0.016,True,-34.48,True,199.72351495834297,1,41.837067931300936,3,32,2.0,40.0
RuleBased,49,hybrid,3.558,162.859,0.008,True,-24.837,True,242.07400319083487,1,59.992156220920855,3,16,5.0,22.5
RuleBased,50,hybrid,3.483,102.624,0.016,True,-31.931,True,163.00979913614776,1,37.12419211769412,2,32,1.0,40.0
RuleBased,51,cloud,3.45,167.909,0.0272,True,-56.216,True,83.31018986160873,1,21.865936490029824,4,32,5.0,22.5
RuleBased,52,cloud,3.466,134.798,0.0136,True,-29.42,True,65.47089279224213,1,48.90635770793922,3,16,1.0,22.5
RuleBased,53,cloud,3.263,297.767,0.0068,True,-37.482,True,185.89267590431427,1,58.74538806274833,4,8,5.0,40.0
RuleBased,54,cloud,3.274,240.943,0.0068,True,-26.542,True,189.91290632956213,1,39.842921156118095,2,8,1.0,22.5
RuleBased,55,hybrid,3.252,90.153,0.008,True,-17.783,True,112.59799713506173,1,43.942164859875945,2,16,5.0,40.0
RuleBased,56,cloud,3.519,177.133,0.0272,True,-49.909,True,76.99489280220213,1,28.96511210239757,3,32,2.0,40.0
RuleBased,57,cloud,3.332,215.889,0.0068,True,-33.562,True,158.88529645920596,1,57.154607220552094,4,8,1.0,22.5
RuleBased,58,cloud,3.529,104.149,0.0068,True,-23.423,True,71.0764145429193,1,31.091933652439412,4,8,2.0,40.0
RuleBased,59,hybrid,3.257,153.335,0.008,True,-26.361,True,245.47252340903074,1,67.54999532929202,3,16,1.0,22.5
RuleBased,60,hybrid,3.302,110.22,0.008,True,-18.972,True,128.23068929657984,1,51.850569865688755,4,16,5.0,22.5
RuleBased,61,hybrid,3.346,96.329,0.004,True,-10.902,True,95.70143185612486,1,51.40082970654153,3,8,5.0,40.0
